pumpModel,pumpWeight,pumpLength_mm
ЭЦН5А-500-1650,1208,28567
ЭЦН5А-500-1700,1251,29567
ЭЦН5А-500-1750,1294,30567
ЭЦН5А-500-1850,1337,31567
ЭЦН5А-500-1900,1380,32567
ЭЦН5А-500-2000,1479,34932
ЭЦН5А-500-2100,1522,35932
ЭЦН5А-500-2250,1608,37932
ЭЦН5А-500-2200,1480,37932
ЭЦН5А-700-950,807,19837
ЭЦН5А-700-1000,847,20837
ЭЦН5А-700-1050,887,21837
ЭЦН5А-700-1100,944,23202
ЭЦН5А-700-1150,984,24202
ЭЦН5А-700-1200,1024,25202
ЭЦН5А-700-1250,1064,26202
ЭЦН5А-700-1300,1104,27202
ЭЦН5А-700-1350,1161,28567
ЭЦН5А-700-1400,1201,29567
ЭЦН5А-700-1450,1241,30567
ЭЦН5А-700-1550,1269,31567
ЭЦН5А-700-1600,1321,32567
ЭЦН5А-700-1650,1377,33932
ЭЦН5А-700-1700,1418,34932
ЭЦН5А-700-1750,1458,35932
ЭЦН5А-700-1800,1498,36932
ЭЦН5А-700-1850,1538,37932
ЭЦН5А-700-1950,1635,40297
ЭЦН5А-700-2000,1675,31297
ЭЦН5А-800-900,807,19837
ЭЦН5А-800-950,847,20837
ЭЦН5А-800-1000,887,21837
ЭЦН5А-800-1050,944,23202
ЭЦН5А-800-1100,984,24202
ЭЦН5А-800-1150,1024,25202
ЭЦН5А-800-1200,1064,26202
ЭЦН5А-800-1250,1104,27202
ЭЦН5А-800-1300,1161,28567
ЭЦН5А-800-1350,1201,29567
ЭЦН5А-800-1400,1241,30567
ЭЦН5А-800-1450,1269,31567
ЭЦН5А-800-1500,1321,32567
ЭЦН5А-800-1550,1377,33932
ЭЦН5А-800-1600,1418,34932
ЭЦН5А-800-1650,1458,35932
ЭЦН5А-800-1700,1498,36932
ЭЦН5А-800-1750,1538,37932
ЭЦН5А-800-1800,1635,40297
ЭЦН6-800-1000,1155,17207
ЭЦН6-800-1050,1223,18207
ЭЦН6-800-1150,1291,19207
ЭЦН6-800-1200,1359,20207
ЭЦН6-800-1250,1427,21207
ЭЦН6-800-1300,1495,22207
ЭЦН6-800-1400,1563,23207
ЭЦН6-800-1450,1631,24207
ЭЦН6-800-1550,1699,25207
ЭЦН6-800-1600,1778,26415
ЭЦН6-800-1650,1846,27415
ЭЦН6-800-1700,1914,28415
ЭЦН6-800-1800,1982,29415
ЭЦН6-800-1850,2050,30415
ЭЦН6-800-1900,2118,21415
ЭЦН6-800-1950,2197,32623
ЭЦН6-800-2000,2265,33623
ЭЦН6-800-2100,2333,34623
ЭЦН6-1000-850,865,17237
ЭЦН6-1000-900,914,18237
ЭЦН6-1000-950,963,19237
ЭЦН6-1000-1000,1012,20237
ЭЦН6-1000-1050,1061,21237
ЭЦН6-1000-1100,1110,22237
ЭЦН6-1000-1200,1159,23237
ЭЦН6-1000-1250,1208,24237
ЭЦН6-1000-1300,1257,25237
ЭЦН6-1000-1350,1322,26450
ЭЦН6-1000-1400,1371,27450
ЭЦН6-1000-1450,1420,28450
ЭЦН6-1000-1500,1469,29450
ЭЦН6-1000-1550,1518,30450
ЭЦН6-1000-1600,1567,31450
ЭЦН6-1000-1650,1632,32663
ЭЦН6-1000-1700,1681,33663
ЭЦН6-1000-1800,1730,34663
ЭЦН6-1000-1850,1779,35663
ЭЦН6-1000-1900,1828,36663
ЭЦН6-1000-1950,1877,37663
ЭЦН6-1000-2000,1942,38876
